Akaa Terisjärvi,61.18884,23.90495
Alajärvi Lehtimäki Verijärvi,62.84682,23.74738
Alavus Kuivasjärvi Perunakielenniemi,62.58046,23.53040
Alavus Kuivasjärvi Pikkuselkä lava,62.59258,23.48017
Alavus Kuivasjärvi Pikkuselkä torni,62.59135,23.48228
Alavus Mulkkujärvi,62.69568,23.32659
Artjärvi Säyhtee,60.75219,26.06662
Askola Särkijärvi Kylänpäänjärvi,60.51069,25.70788
Aura Kurjenrahka Koivusaari,60.72436,22.42634
Brändö Jurmo Strömsbötet,60.51927,21.08385
Enontekiö Mannakoski,68.48315,22.34303
Enontekiö Pippovuoma,68.26614,23.98327
Enontekiö Sotkajärvi,68.31104,23.28512
Enontekiö Yrjö Kokko-torni,68.40752,23.88431
Espoo Espoonlahti Fiskarsinmäki,60.17688,24.57123
Espoo Iso Vasikkasaari,60.13966,24.76373
Espoo Kaitalahti,60.13743,24.69246
Espoo Laajalahti Maari,60.18951,24.81899
Espoo Laajalahti Villa Elfvik,60.19984,24.82406
Espoo Matalajärvi,60.24972,24.69826
Espoo Stora Herrö,60.08916,24.66903
Espoo Suomenoja E,60.15288,24.72232
Espoo Suomenoja S,60.15122,24.71846
Eura Koskeljärvi Latosaari,60.91601,22.09481
Eura Vaaljärvi,60.92290,22.06311
Evijärvi Jokisuunlahti,63.36929,23.49888
Finström Bergö,60.30602,19.82475
Finström Pålsböle Storberget,60.26957,19.91835
Forssa Koijärvi,60.97665,23.73330
Forssa Salmistonmäki Loimalammi,60.80339,23.66861
Föglö Hastersboda,60.02766,20.60189
Föglö Jyddö,60.08624,20.53805
Haapavesi Ainali,64.22881,25.38954
Haapavesi Kirkkojärvi,64.13144,25.38231
Hailuoto Kaarannokka,65.04377,24.81350
Hailuoto Kirkkosalmi,65.00279,24.74885
Hailuoto Maasyvänlahti,64.96752,24.82983
Hailuoto Sunikarin torni,64.96436,24.65050
Hailuoto Syökarinlahti,64.96509,24.76208
Hailuoto Tömppä,64.95318,24.80083
Hailuoto Viinikanlahti E,64.97706,24.75303
Hailuoto Viinikanlahti W,64.97809,24.73680
Hamina Kirkkojärvi,60.58099,27.20485
Hamina Lupinlahti,60.55075,27.22860
Hamina Rakin Kotka,60.44778,27.29456
Hamina Siliävuori,60.67198,27.14331
Hamina Ulko-Tammio,60.34933,27.45861
Hammarland Sålis Vårdberg,60.27408,19.75751
Hankasalmi Keskisenlampi,62.32878,26.48809
Hankasalmi Leväsenlampi,62.42271,26.37007
Hankasalmi Pieni-Kaihlanen,62.27267,26.34136
Hankasalmi Suojärvi,62.50977,26.26825
Hanko Kuningattarenvuori,59.82069,22.95716
Hanko Lintuasema Halias,59.81150,22.89438
Hanko Svanvik,59.83657,23.16018
Hanko Täktom,59.84343,23.07648
Harjavalta Pitkäjärvi,61.38879,22.20986
Haukipudas Kello Kiviniemi,65.11197,25.32787
Haukipudas Vainiolanjärvi,65.15163,25.36388
Hausjärvi Piirivuori,60.80596,24.82700
Heinola Maitiaislahti,61.20642,26.05845
Heinola Nyynäistenlahti,61.16128,25.97694
Heinävesi Pääskyvuori,62.43165,28.56412
Helsinki Jakomäki,60.25700,25.07096
Helsinki Lauttasaari Myllykallio,60.15916,24.86478
Helsinki Vanhankaupunginlahti Fastholma,60.20567,25.01811
Helsinki Vanhankaupunginlahti Hakalanniemi,60.21462,25.00998
Helsinki Vanhankaupunginlahti Hakalanniemi lava,60.21507,25.00921
Helsinki Vanhankaupunginlahti Keinumäki,60.21890,25.00323
Helsinki Vanhankaupunginlahti Kivinokka,60.19879,25.01511
Helsinki Vanhankaupunginlahti Lammassaari,60.20876,25.00179
Helsinki Vanhankaupunginlahti Pornaistenniemi,60.21413,24.99237
Helsinki Vanhankaupunginlahti Purolahti,60.21440,25.01903
Helsinki Vanhankaupunginlahti Purolahti lava,60.21568,25.02335
Hollola Kutajärvi,61.04111,25.47597
Hollola Kutajärvi lava,61.04235,25.47352
Hollola Vesijärvi Lahdenpohja,61.07900,25.32245
Honkajoki Huidankeidas,61.99202,22.05089
Honkajoki Satamakeidas,62.02505,22.35376
Huittinen Isosuo,61.25035,22.58639
Huittinen Mutilahti,61.25490,22.58317
Huittinen Raijalanjärvi (vankilan pelto),61.21064,22.55397
Hyrynsalmi Kuivajärvi,64.61736,28.90924
Hyvinkää Ridasjärvi,60.64986,24.99163
Hämeenkyrö Kirkkojärvi,61.63098,23.19585
Hämeenkyrö Sarkkilanjärvi N,61.60665,23.34877
Hämeenkyrö Sarkkilanjärvi S,61.59674,23.34531
Hämeenlinna Hattelmalanjärvi,60.96852,24.44816
Hämeenlinna Hauho Vuorenharju,61.16852,24.56713
Hämeenlinna Hauho Vähäniemi,61.25997,24.65885
Hämeenlinna Kalvola Jalavaniemi,61.08845,24.23795
Hämeenlinna Kalvola Muulijärvi Pirttikoski,61.00603,23.92429
Ii Hiastinlahti,65.35174,25.33584
Ii Vuosijärvi,65.61436,25.49736
Iisalmi Keskimmäinen,63.59815,27.12359
Iisalmi Kihlovirta,63.56986,27.01627
Iitti Mukulanlahti,60.94263,26.43092
Ikaalinen Kurinperänlahti,61.77498,23.06960
Ilmajoki Alajoki,62.79705,22.69145
Ilmajoki Alajoki museosauna,62.79717,22.66206
Ilmajoki Santavuori,62.65263,22.48020
Ilomantsi Kesonsuo,62.79030,30.81224
Ilomantsi Möhkö Möhkönvaara,62.62929,31.28784
Ilomantsi Patvinsuo,63.09158,30.74746
Inari Alempi Akujärvi,68.67565,27.69074
Inari Ivalonjokisuu Juurakkovuopaja,68.76918,27.65088
Inari Kaamanen Toivoniemi,69.07065,27.10432
Inari Mielikköjärvi,68.73486,27.70129
Inkoo Kopparnäs,60.05652,24.23402
Isojoki Mustansaarenkeidas,62.01872,21.84113
Jalasjärvi Hirvijärvi N,62.47290,22.82776
Jalasjärvi Hirvijärvi S,62.46795,22.81840
Jalasjärvi Ponsijärvi,62.50075,22.54242
Janakkala Suurisuo,60.98383,24.80156
Janakkala Toivajoki,60.78253,24.57608
Joensuu Höytiäisen kanavan suisto,62.61603,29.66915
Joensuu Uimaharju Koukkujoki,62.88541,30.26870
Jokioinen Lintupaju,60.79863,23.44098
Jokioinen Pellilänsuo,60.80053,23.53746
Jomala Ingbyberget,60.17116,19.94446
Jomala Kungsöbergen,60.10550,19.81340
Jomala Torpfjärden,60.10842,19.89958
Joroinen Pasala Revonpesä,62.22438,27.73388
Joutsa Haapasuo,61.91245,26.07833
Joutsa Keskisenlampi,61.84912,26.31725
Joutsa Myllynlahti,61.73504,26.14235
Joutsa Tammimäki,61.83479,25.99307
Juuka Kaajanlampi,63.29956,29.28915
Juuka Paalasmaa,63.30425,29.44544
Jyväskylä Eerolanlahti,62.25059,25.72667
Jyväskylä Hämeenlahti,62.21718,25.79934
Jyväskylä Korpilahti Hyrkkölä Juurikkajärvi,61.99497,25.57587
Jyväskylä Korpilahti Oravivuori,61.92542,25.53402
Jyväskylä Pitkäruoho,62.23249,25.78860
Jyväskylä Raudanlahti,62.14247,25.71334
Jyväskylä Rautpohja,62.25088,25.71220
Jämijärvi Jämi Soininharju,61.77648,22.72247
Jämsä Alhojärvi,61.83193,25.12705
Jämsä Juokslahti Vilunen,61.94869,25.31687
Jämsä Lokalahti,61.81325,25.22032
Järvenpää Tuusulanjärvi Kaakkola,60.46658,25.07634
Kaarina Kuusistonlahti,60.39395,22.46083
Kaarina Kuusistonlahti Kartano,60.40082,22.46620
Kaarina Littoistenjärvi,60.46031,22.38442
Kaarina Piikkiö Piikkiönlahti,60.41863,22.49835
Kaarina Rauvolanlahti,60.40581,22.28498
Kaarina Rauvolanlahti lintulava 1,60.40660,22.28632
Kaarina Rauvolanlahti lintulava 2,60.40780,22.28682
Kaarina Vaarniemenkallio,60.39910,22.28862
Kajaani Kuluntajärvi,64.29441,27.87575
Kajaani Otanmäen lintuvesiallas,64.13154,27.11677
Kajaani Otanmäen lintuvesiallas Isosirri,64.14040,27.09263
Kajaani Otanmäen lintuvesiallas korkea valli,64.13229,27.10636
Kajaani Otanmäen lintuvesiallas Pikkusirri,64.13544,27.10050
Kajaani Vuottolahti,64.11776,27.27878
Kalajoki Himanka Meksinkallio,64.05630,23.61657
Kalajoki Himanka Sautinkari,64.06853,23.62983
Kalajoki Letto Jokisuu,64.28484,23.89711
Kalajoki Letto Vihaslahti,64.26288,23.84644
Kalajoki Rahjan kalasatama,64.21581,23.67939
Kalajoki Vihaslahti,64.26191,23.84602
Kalajoki Ämmä,64.28999,23.91507
Kangasala Keisarinharju,61.43657,24.12772
Kangasala Kirkkojärvi,61.46104,24.04933
Kangasala Kuhmalahti Yli-Kirjamo,61.52842,24.86227
Kangasala Pohtiolammi,61.44923,24.12976
Kangasniemi Häppälänmäki Makkarasuo,62.19353,26.33860
Kangasniemi Leppäselkä,61.95156,26.67241
Kangasniemi Leppäselkä,61.95686,26.67654
Kangasniemi Pukkiselkä,61.99918,26.90951
Kankaanpää Korvajärvi,61.94766,22.48430
Kankaanpää Kyynärjärvi,61.84072,22.31775
Kannus Viitajärvi,63.87995,24.18490
Karjalohja Kotojärvi,60.18788,23.71985
Karkkila Pyhäjärvi,60.53871,24.20353
Karstula Humppi Iso-Korpinen,62.90863,24.85876
Karstula Pieni-Korppinen,62.91074,24.83950
Karstula Pääjärvenmäki Kirkkovuori,62.86660,24.76124
Karstula Ylin-järvi,62.89687,24.80562
Kauhajoki Aninkuja,62.43771,22.06146
Kauhajoki Kauhaneva,62.21021,22.44552
Kauhajoki Lauhanvuori,62.15272,22.17420
Kauhajoki Ylimysjärvi,62.31612,22.38270
Kauhava Alahärmä Huhdankallio,63.16095,22.85826
Kauhava Kortesjärvi Kitkankallio,63.26928,23.13721
Kauhava Saarimaa,63.07112,22.92967
Kauhava Ylihärmä Kangas Karhuvuori,63.07130,22.84704
Keitele Hetejärvi Kallioniemi,63.14880,26.22669
Keitele Hetejärvi Saunaniemi,63.14998,26.24190
Keitele Lahnasjärvet,63.39033,26.21635
Kemi Kattilalahti,65.69022,24.65334
Kemijärvi Kotavaara,66.70789,27.57678
Kemijärvi Luusua,66.50230,27.33354
Kemijärvi Myllykumpu,66.83503,27.54661
Kemijärvi Pyhätunturi Tunturiaapa,67.00208,27.21071
Kemijärvi Suomujoki,66.58104,27.98920
Keminmaa Kallinkangas,65.81868,24.52271
Keminmaa Keski-Penikka,65.87100,25.02843
Kemiönsaari Dragsfjärd Höglandet,60.10581,22.31402
Kemiönsaari Västanfjärd Galtarbyviken,60.06018,22.61519
Kempele Vihiluoto,64.94622,25.44938
Kerimäki Jouhenlahti,61.90793,29.27598
Kesälahti Kuolemalammen suo,61.79682,29.72454
Kesälahti Pienivaara Hunonmäki,61.92743,29.81691
Kesälahti Totkunniemi Hovinmäki,61.84556,29.86518
Keuruu Heinä-Valkeinen,62.38736,24.35476
Keuruu Kaivoslahti,62.27351,24.68774
Keuruu Pihlajavesi Iso-Rimppi,62.37238,24.35544
Keuruu Riiho Lehdontie,62.21479,24.41000
Keuruu Riiho Peräjärvi,62.20090,24.35005
Kiikoinen Kuorsumaanjärvi,61.52184,22.59441
Kinnula Nielujärvi,63.32612,24.81119
Kirkkonummi Medvast Morsfjärden,60.10499,24.62825
Kirkkonummi Porkkala Sunds,59.98886,24.44417
Kirkkonummi Rönnskär,59.93553,24.39129
Kirkkonummi Saltfjärden,60.08746,24.48608
Kirkkonummi Stora Brändö,60.03820,24.59435
Kitee Hovinlampi,62.17811,29.94458
Kitee Päätyeenlahti Perukka,62.13690,30.11569
Kitee Päätyeenlahti Sepänniemi,62.11072,30.12872
Kitee Ätäskö,62.07552,29.96458
Kittilä Karinnokka,67.66234,24.90910
Kittilä Kukkura,67.75915,25.00178
Kittilä Latvajärvi,67.62342,24.55798
Kittilä Lompolojärvi,67.44681,24.48508
Kittilä Porttijärvi,67.43643,24.41114
Kiuruvesi Luupuvesi Jokilahti,63.70407,26.77884
Kokemäki Ahvenus,61.29678,22.53007
Kokemäki Puurijärvi Kärjenkallio,61.27572,22.55684
Kokkola Harrbådan,63.87779,23.07337
Kokkola Jussinpauha,64.07303,23.44396
Kokkola Laajalahti,63.78868,23.02803
Kokkola Laajalahti Hietanokka,63.79706,23.01462
Kokkola Lohtaja Marinkainen Harjukari,63.94748,23.40443
Kokkola Rummelö,63.86985,23.09289
Kokkola Tankar,63.95025,22.84530
Kokkola Trullevi,63.91720,23.07225
Kokkola Ullava Hanhilahti,63.60193,24.06275
Kokkola Vattaja,64.08326,23.41439
Kokkola Öja Bergölandet,63.89189,22.90241
Kolari Teuravuoma Kurtakko,67.37909,24.19951
Kolari Teuravuoma Teurajärvi,67.34923,24.05728
Kolari Ylläslompolo,67.50191,24.32098
Kolari Äkäslompolo,67.61415,24.16256
Konnevesi Pyhäjärvi,62.76127,26.14288
Kontiolahti Iso-Suopoli,62.99119,29.72759
Kontiolahti Pitkäranta,62.67122,30.00367
Kontiolahti Satamalahti,62.74904,29.83608
Korsnäs Harrström Hamnträsket,62.71360,21.06918
Koski Tl Hevonlinnanharju,60.69891,23.03321
Kotka Salminlahti Rantahaka,60.55541,27.00682
Kouvola Elimäki Teutjärvi Kanasaari,60.60800,26.49224
Kouvola Jaala Jaalanlahti,61.04250,26.47229
Kouvola Mustanlamminvuori,61.18028,26.84834
Kouvola Valkeala Lappalanjärvi,60.93425,26.78005
Kristiinankaupunki Blomträsket,62.20784,21.51865
Kristiinankaupunki Hamnfjärden,62.13213,21.33161
Kristiinankaupunki Pohjoislahti,62.28134,21.37917
Kristiinankaupunki Siipyy,62.01397,21.29276
Kruunupyy Hällösfjärden,63.71810,22.90388
Kruunupyy Stormossen Furuträsket,63.65130,23.13329
Kuhmo Rytilampi,64.11916,29.69052
Kuopio Neulamäki,62.88811,27.59433
Kuopio Riistavesi Keskimmäinen,62.88781,28.23711
Kuopio Vehmersalmi Sahkari,62.75110,28.05558
Kuortane Mäyry Rumavuori,62.77536,23.55816
Kuortane Pennalanlahti,62.79676,23.49866
Kuortane Sarvijärvi,62.69557,23.60986
Kurikka Luopa Loukajanvuori,62.60161,22.52327
Kurikka Niinistönjärvi,62.64637,22.14728
Kustavi Isokari,60.71847,21.02057
Kustavi Katanpää,60.61408,21.16371
Kuusamo Ala-Kitka Kaukosaari,66.24520,29.08447
Kuusamo Antinperä,66.12877,29.29521
Kuusamo Kuusamojärvi Nilojoki,65.97096,29.18971
Kuusamo Suininki Olkivaara,66.05831,29.71055
Kuusamo Torankijärvi,65.94440,29.22099
Kuusamo Torankijärvi Jätäri,65.95679,29.17413
Kuusamo Vasaralahti,66.06924,28.74462
Kuusamo Vihtasalmi,65.95469,29.24661
Kuusamo Vuotunki,66.14098,29.58329
Kärsämäki Nurmesjärvi,63.80396,25.70563
Köyliö Vinnari,61.14393,22.31027
Lahti Kilpiäistenpohja,61.02791,25.64828
Lahti Luhdanjoki Sipilä,60.94435,25.56344
Laihia Levaneva,62.77617,22.04321
Laihia Rajavuori,62.80296,21.93751
Lapinjärvi Lapinjärvi,60.61801,26.18239
Lapinlahti Linnansalmi,63.36559,27.36835
Lapinlahti Väisälänmäki,63.34545,27.23734
Lappajärvi Ylipää Tapolanvuori,63.06794,23.60078
Lappeenranta Askola,61.02125,28.20229
Lappeenranta Haapajärvi,60.93344,28.27885
Lappeenranta Joutseno Konnunsuo 1,61.03834,28.55171
Lappeenranta Joutseno Konnusuo 2,61.04448,28.55053
Lappeenranta Ylämaa Väkevänjärvi,60.67135,27.97554
Lapua Alajoki,63.05463,22.90260
Lapua Hirvijärvi,62.83508,23.11254
Lapua Simpsiö,62.95878,22.95230
Laukaa Lapinjärvi,62.22963,26.26724
Laukaa Torikkasalmi,62.50488,25.86907
Laukaa Vuojärvi,62.41827,25.93684
Laukaa Vuontee,62.32181,25.98071
Lemland Herröskatan,59.96930,20.17920
Lempäälä Ahtialanjärvi,61.31169,23.79024
Lempäälä Mattila Pyhällönvuori,61.26095,23.76881
Lieksa Huuhkajanvaara,63.36940,30.55053
Lieksa Lahnasuo,63.10047,30.62913
Lieksa Lakkapolku,63.14814,30.68144
Lieksa Pappilanluhta,63.30483,30.04200
Lieksa Pikku-Kili Keljanvaara,63.06326,30.26027
Lieksa Reposuo 1,63.33646,30.24419
Lieksa Reposuo 2,63.33548,30.24616
Lieksa Simananvaara,63.12099,30.13173
Lieto Mahlio Tornivuori,60.56846,22.59751
Lieto Nautelankoski,60.55617,22.45980
Liminka Hirvineva,64.70602,25.29045
Liminka Temmesjokisuu,64.86124,25.35154
Liminka Virkkula N,64.82921,25.31050
Liminka Virkkula S,64.82818,25.30972
Liperi Härkinlampi,62.54576,29.42352
Liperi Roukalahti Tutjunlampi,62.47983,29.52464
Liperi Särkijärvi,62.64206,29.30079
Loimaa Mälläinen,60.98816,22.83496
Loppi Kyyniönlahti,60.70637,24.44681
Loviisa Haravankylä,60.43349,26.22791
Loviisa Liljendal Sävträsk,60.56803,26.04916
Loviisa Loviisanlahti,60.45611,26.23560
Loviisa Pernaja Baggnäs,60.47899,25.92387
Loviisa Pernaja Isnäs,60.38698,26.00148
Loviisa Ruotsinpyhtää Lehtinen,60.33119,26.51052
Lumijoki Puhkiavanperä,64.84628,25.28790
Lumijoki Sannanlahti,64.87991,25.20430
Luumäki Ylä-Hirvas,60.85174,27.78658
Länsi-Turunmaa Houtskari Borgberget,60.21682,21.30456
Länsi-Turunmaa Houtskari Jungfruskär Österfladan,60.13993,21.08133
Länsi-Turunmaa Iniö Kasberget,60.39974,21.35699
Länsi-Turunmaa Nauvo Mattnäs Vargberget,60.13535,21.78637
Länsi-Turunmaa Parainen Lenholm Mattholmsfladan,60.24180,22.20711
Länsi-Turunmaa Parainen Petteby,60.28854,22.19004
Maalahti Gålören,62.87513,21.36750
Maalahti Nojärvträsket,62.77873,21.38995
Maalahti Åminne,62.97218,21.48858
Maaninka Kinnulanlahti,63.12189,27.38585
Maaninka Lapinranta,63.13338,27.43301
Maaninka Patalahti E,63.23547,27.18642
Maaninka Patalahti SE,63.22754,27.18736
Maaninka Patalahti W,63.22754,27.17907
Maaninka Pieni Lapinjärvi,63.12179,27.38603
Maarianhamina Strandnäs,60.11303,19.94690
Masku Askainen Livonsaari Samppaanvuori,60.52621,21.75577
Masku Lemu Halkkoaukko Kaidanpää,60.53174,21.93599
Merikarvia Honkajärvi Joutsenjärvi,61.98003,21.58977
Merikarvia Kalfjellin havaintolava,61.83361,21.49256
Mikkeli Hujassuo,61.75632,27.32480
Mikkeli Kenkävero,61.67899,27.28585
Mikkeli Naistinki,61.68258,27.19520
Mikkeli Porrassalmi,61.63244,27.28207
Muhos Matokorpi,64.79546,25.92683
Multia Kiiskilänmäki,62.50089,25.15366
Multia Linna-Peurala Iso-Kaleton,62.47353,24.93908
Multia Valkeisenjärvi,62.53909,24.78538
Muonio Muonionjärvi Puthaanranta,67.96057,23.67098
Muonio Muonionjärvi Rukomasaari,67.97438,23.64035
Mustasaari Svedjehamn,63.35790,21.29123
Mustasaari Söderfjärden,63.01677,21.62717
Mustasaari Vassorfjärden,63.15775,21.99727
Muurame Muuramenlampi,62.13575,25.65732
Mynämäki Mietoinen Kuustonlahti,60.60860,21.84141
Mynämäki Mietoinen Mietoistenlahti Vasikkahaka 1,60.63346,21.84962
Mynämäki Mietoinen Mietoistenlahti Vasikkahaka 2,60.63551,21.84895
